Clothing_Barcode,Clothing_Category,LocationID,Selling_Price,Clothing_Type,Clothing_Description,Clothing_Brand,Clothing_Size,Clothing_Color,Clothing_Gender,Clothing_Condition
340,1,1,44,Jacket,classic vans,Vans,11,Red,Male,Good
341,5,3,57,Vest,classic vans,Vans,10,Black,Male,Good
342,5,1,67,Shoes,stomper boots,black,8,Black,Female,Great
343,2,2,30,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
344,3,1,33,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
345,5,2,66,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
346,6,2,36,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
347,4,1,47,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Fair
348,5,3,50,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
349,3,3,49,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
350,5,1,50,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
351,5,3,40,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
352,1,3,21,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Great
353,5,2,39,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
354,1,3,40,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
355,3,3,53,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
356,3,1,22,Dress,Carhart logo hat,Carhart,M,Brown,Female,Good
357,1,1,34,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
358,3,1,26,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Good
359,3,2,68,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
360,4,1,48,Shoes,Short shorts jene style,Levy,29,Blue,Female,Great
361,3,1,47,Sweatshirt,Small brown phish shirt - 2000,Concert,S,Brown,Male,Poor
362,4,1,43,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Great
363,5,3,36,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
364,5,3,38,Shirt,classic jenes,Levy,34,Blue,Male,Fair
365,2,1,59,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Great
366,4,3,55,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Poor
367,3,2,54,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
368,1,1,29,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
369,6,3,48,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
370,1,3,53,Sweatshirt,classic vans,Vans,11,Red,Male,Good
371,6,1,44,Shorts,classic vans,Vans,10,Black,Male,Good
372,5,3,20,Hat,stomper boots,black,8,Black,Female,Great
373,3,3,19,Shirt,light twirly dress,Free People,4,Pink,Female,Good
374,3,1,63,Dress,Classic jene jacket,Levy,L,Blue,Female,Fair
375,2,1,70,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
376,5,3,28,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
377,6,2,33,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
378,3,1,50,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
379,4,3,42,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
380,5,2,65,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
381,6,1,46,Hat,Old cowboy boots,Tough,13,Brown,Male,Good
382,6,1,64,Shirt,High Heels Red,Vanity,6,Red,Female,Great
383,2,2,21,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
384,4,1,24,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
385,4,3,36,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
386,4,1,24,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Good
387,3,3,28,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
388,3,3,55,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Good
389,6,3,59,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
390,4,1,69,Hat,Short shorts jene style,Levy,29,Blue,Female,Great
391,4,1,43,Shirt,Small brown phish shirt - 2000,Concert,S,Brown,Male,Poor
392,1,2,30,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
393,2,3,63,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
394,6,2,54,Jacket,classic jenes,Levy,34,Blue,Male,Fair
395,4,2,53,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
396,6,1,48,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Poor
397,3,3,33,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
398,4,2,29,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
399,5,3,66,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
400,6,3,44,Shirt,classic vans,Vans,11,Red,Male,Good
401,5,2,16,Dress,classic vans,Vans,10,Black,Female,Good
402,1,2,31,Pants,stomper boots,black,8,Black,Female,Great
403,3,1,68,Jacket,light twirly dress,Free People,4,Pink,Female,Good
404,2,1,52,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Fair
405,6,2,42,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
406,5,1,53,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
407,3,1,28,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
408,6,2,65,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
409,1,3,67,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
410,3,1,54,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
411,1,2,44,Pants,Old cowboy boots,Tough,13,Brown,Male,Good
412,6,2,59,Jacket,High Heels Red,Vanity,6,Red,Female,Great
413,3,3,46,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Fair
414,2,3,41,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
415,3,2,62,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
416,5,1,19,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Good
417,2,2,66,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
418,5,3,36,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Good
419,4,2,24,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
420,4,3,28,Pants,Short shorts jene style,Levy,29,Blue,Female,Great
421,4,1,60,Jacket,Small brown phish shirt - 2000,Concert,S,Brown,Male,Poor
422,3,2,26,Vest,light purple flowery dress,Lulus,4,Purple,Female,Great
423,6,3,63,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
424,1,1,62,Sweatshirt,classic jenes,Levy,34,Blue,Male,Fair
425,5,2,46,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Great
426,1,3,18,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Poor
427,4,3,62,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
428,6,3,30,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Fair
429,6,1,65,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
430,5,1,45,Jacket,classic vans,Vans,11,Red,Male,Good
431,1,1,16,Vest,classic vans,Vans,10,Black,Male,Good
432,2,3,59,Shoes,stomper boots,black,8,Black,Female,Great
433,1,1,17,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
434,4,1,55,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
435,2,1,59,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
436,4,3,53,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
437,1,3,37,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Fair
438,5,3,17,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
439,4,3,21,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
440,3,3,52,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
441,2,1,54,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
442,1,1,36,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Great
443,3,1,53,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
444,3,1,47,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
445,3,1,16,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
446,1,2,58,Dress,Carhart logo hat,Carhart,M,Brown,Female,Good
447,5,3,49,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
448,6,1,26,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Good
449,4,1,15,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
450,6,1,68,Shoes,Short shorts jene style,Levy,29,Blue,Female,Great
451,5,2,20,Sweatshirt,Small brown phish shirt - 2000,Concert,S,Brown,Male,Poor
452,5,1,59,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Great
453,2,3,67,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
454,6,3,31,Shirt,classic jenes,Levy,34,Blue,Male,Fair
455,3,3,60,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Great
456,2,2,49,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Poor
457,2,2,61,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
458,5,1,33,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
459,6,2,45,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
460,2,3,64,Sweatshirt,classic vans,Vans,11,Red,Male,Good
461,3,3,21,Shorts,classic vans,Vans,10,Black,Male,Good
462,4,3,47,Hat,stomper boots,black,8,Black,Female,Great
463,4,2,30,Shirt,light twirly dress,Free People,4,Pink,Female,Good
464,3,2,65,Dress,Classic jene jacket,Levy,L,Blue,Female,Fair
465,2,2,28,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
466,2,3,51,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
467,4,3,60,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
468,5,3,22,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
469,1,1,68,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
470,5,2,58,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
471,4,3,66,Hat,Old cowboy boots,Tough,13,Brown,Male,Good
472,6,3,24,Shirt,High Heels Red,Vanity,6,Red,Female,Great
473,1,2,46,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
474,1,3,42,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
475,2,3,40,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
476,1,1,65,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Good
477,4,1,62,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
478,2,1,55,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Good
479,3,3,26,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
480,4,3,21,Hat,Short shorts jene style,Levy,29,Blue,Female,Great
481,5,1,23,Shirt,Small brown phish shirt - 2001,Concert,S,Brown,Male,Poor
482,1,1,27,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
483,1,1,29,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
484,3,3,39,Jacket,classic jenes,Levy,34,Blue,Male,Fair
485,6,1,26,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
486,5,1,40,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Poor
487,2,2,48,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
488,4,2,37,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
489,5,1,15,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
490,5,1,16,Shirt,classic vans,Vans,11,Red,Male,Good
491,2,1,37,Dress,classic vans,Vans,10,Black,Female,Good
492,3,2,52,Pants,stomper boots,black,8,Black,Female,Poor
493,5,2,17,Jacket,light twirly dress,Free People,4,Pink,Female,Great
494,3,1,20,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Good
495,1,2,37,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
496,3,1,27,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Great
497,5,2,48,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Poor
498,5,2,69,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Good
499,5,3,21,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Fair
500,3,2,50,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Good
501,4,1,46,Pants,Old cowboy boots,Tough,13,Brown,Male,Good
502,6,2,34,Jacket,High Heels Red,Vanity,6,Red,Female,Good
503,6,2,18,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Great
504,4,2,46,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
505,2,1,28,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
506,5,2,37,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Great
507,1,3,53,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
508,5,3,59,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Fair
509,2,3,23,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Great
510,5,3,45,Pants,Short shorts jene style,Levy,29,Blue,Female,Poor
511,2,3,40,Jacket,Small brown phish shirt - 2001,Concert,S,Brown,Male,Good
512,2,2,24,Vest,light purple flowery dress,Lulus,4,Purple,Female,Fair
513,2,3,61,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
514,4,3,31,Sweatshirt,classic jenes,Levy,34,Blue,Male,Good
515,2,2,60,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Good
516,4,3,21,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Great
517,4,1,46,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
518,4,2,28,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Great
519,5,3,53,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
520,5,2,27,Jacket,classic vans,Vans,11,Red,Male,Fair
521,3,2,39,Vest,classic vans,Vans,10,Black,Male,Great
522,4,2,49,Shoes,stomper boots,black,8,Black,Female,Poor
523,5,1,31,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
524,2,3,32,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
525,2,2,67,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Good
526,3,1,22,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
527,5,2,52,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Good
528,2,2,44,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Great
529,1,1,54,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
530,2,1,64,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
531,4,3,28,Shoes,Old cowboy boots,Tough,13,Brown,Male,Fair
532,1,2,20,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Poor
533,1,1,30,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
534,1,2,45,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
535,1,3,31,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
536,2,1,70,Dress,Carhart logo hat,Carhart,M,Brown,Female,Great
537,6,3,28,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
538,1,3,39,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Great
539,4,3,27,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Poor
540,3,1,39,Shoes,Short shorts jene style,Levy,29,Blue,Female,Great
541,1,2,63,Sweatshirt,Small brown phish shirt - 2001,Concert,S,Brown,Male,Good
542,6,2,69,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Fair
543,3,1,45,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
544,4,3,48,Shirt,classic jenes,Levy,34,Blue,Male,Poor
545,3,3,61,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Good
546,2,2,47,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Fair
547,1,2,43,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
548,6,3,49,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Good
549,5,2,70,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
550,1,1,61,Sweatshirt,classic vans,Vans,11,Red,Male,Great
551,1,1,51,Shorts,classic vans,Vans,10,Black,Male,Good
552,4,3,39,Hat,stomper boots,black,8,Black,Female,Fair
553,5,2,46,Shirt,light twirly dress,Free People,4,Pink,Female,Fair
554,3,1,55,Dress,Classic jene jacket,Levy,L,Blue,Female,Poor
555,2,3,41,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
556,2,2,43,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Fair
557,4,3,24,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Poor
558,2,2,19,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Great
559,4,1,35,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
560,5,3,18,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
561,6,3,48,Hat,Old cowboy boots,Tough,13,Brown,Male,Fair
562,6,1,50,Shirt,High Heels Red,Vanity,6,Red,Female,Good
563,5,1,62,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Great
564,2,1,69,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
565,3,1,45,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
566,4,1,30,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Good
567,4,3,69,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
568,5,2,61,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Great
569,2,3,51,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Poor
570,3,3,64,Hat,Short shorts jene style,Levy,29,Blue,Female,Great
571,2,3,36,Shirt,Small brown phish shirt - 2001,Concert,S,Brown,Male,Good
572,5,3,67,Dress,light purple flowery dress,Lulus,4,Purple,Female,Fair
573,1,1,15,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
574,2,1,59,Jacket,classic jenes,Levy,34,Blue,Male,Poor
575,5,2,43,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
576,1,2,40,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Good
577,2,3,32,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Fair
578,5,1,24,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Great
579,6,1,34,Hat,Puffy winter coat,Volcom,L,Red,Male,Poor
580,3,1,68,Shirt,classic vans,Vans,11,Red,Male,Good
581,5,3,47,Dress,classic vans,Vans,10,Black,Female,Fair
582,3,3,27,Pants,stomper boots,black,8,Black,Female,Good
583,3,3,35,Jacket,light twirly dress,Free People,4,Pink,Female,Good
584,2,1,23,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Good
585,6,3,22,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Great
586,1,3,68,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
587,6,2,53,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
588,4,2,24,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
589,4,3,50,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
590,2,1,45,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
591,1,2,32,Pants,Old cowboy boots,Tough,13,Brown,Male,Fair
592,5,2,39,Jacket,High Heels Red,Vanity,6,Red,Female,Poor
593,2,2,58,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Great
594,3,1,34,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
595,2,2,49,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
596,2,3,39,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Fair
597,1,1,16,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
598,1,1,24,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Great
599,6,2,69,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
600,4,2,26,Pants,Short shorts jene style,Levy,29,Blue,Female,Poor
601,1,1,20,Jacket,Small brown phish shirt - 2002,Concert,S,Brown,Male,Good
602,3,3,36,Vest,light purple flowery dress,Lulus,4,Purple,Female,Good
603,3,1,25,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
604,4,2,29,Sweatshirt,classic jenes,Levy,34,Blue,Male,Poor
605,5,3,27,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Great
606,2,3,57,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Good
607,3,1,53,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Fair
608,1,2,60,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Great
609,5,2,27,Pants,Puffy winter coat,Volcom,L,Red,Male,Poor
610,3,3,43,Jacket,classic vans,Vans,11,Red,Male,Good
611,3,1,31,Vest,classic vans,Vans,10,Black,Male,Fair
612,2,1,33,Shoes,stomper boots,black,8,Black,Female,Good
613,4,3,54,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
614,4,1,28,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Good
615,2,2,31,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Great
616,4,3,70,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
617,4,1,29,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Fair
618,1,1,63,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
619,4,1,67,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
620,6,2,45,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
621,3,1,41,Shoes,Old cowboy boots,Tough,13,Brown,Male,Fair
622,1,2,59,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Poor
623,4,1,63,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Great
624,6,1,43,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
625,3,2,40,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
626,6,1,40,Dress,Carhart logo hat,Carhart,M,Brown,Female,Fair
627,5,3,32,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
628,6,2,62,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Great
629,4,3,65,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
630,2,1,49,Shoes,Short shorts jene style,Levy,29,Blue,Female,Poor
631,6,3,61,Sweatshirt,Small brown phish shirt - 2002,Concert,S,Brown,Male,Good
632,1,3,33,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Good
633,4,3,34,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
634,3,3,68,Shirt,classic jenes,Levy,34,Blue,Male,Poor
635,1,3,44,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Great
636,1,2,31,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Good
637,4,1,63,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Fair
638,4,1,56,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Great
639,6,1,57,Shoes,Puffy winter coat,Volcom,L,Red,Male,Poor
640,3,2,35,Sweatshirt,classic vans,Vans,11,Red,Male,Good
641,2,2,24,Shorts,classic vans,Vans,10,Black,Male,Fair
642,1,3,70,Hat,stomper boots,black,8,Black,Female,Good
643,3,3,24,Shirt,light twirly dress,Free People,4,Pink,Female,Good
644,3,2,26,Dress,Classic jene jacket,Levy,L,Blue,Female,Good
645,6,3,64,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Great
646,1,2,67,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
647,2,1,44,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
648,5,3,36,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
649,3,1,50,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
650,5,1,21,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
651,4,1,70,Hat,Old cowboy boots,Tough,13,Brown,Male,Fair
652,6,1,25,Shirt,High Heels Red,Vanity,6,Red,Female,Poor
653,6,1,45,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Great
654,2,2,40,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
655,2,2,57,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
656,2,3,64,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Fair
657,4,3,30,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
658,1,3,26,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Great
659,1,2,44,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
660,5,3,66,Hat,Short shorts jene style,Levy,29,Blue,Female,Poor
661,3,2,68,Shirt,Small brown phish shirt - 2002,Concert,S,Brown,Male,Good
662,5,1,68,Dress,light purple flowery dress,Lulus,4,Purple,Female,Good
663,6,1,33,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
664,2,3,42,Jacket,classic jenes,Levy,34,Blue,Male,Poor
665,4,1,16,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
666,4,2,35,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Good
667,2,3,24,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Fair
668,2,2,16,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Great
669,2,3,58,Hat,Puffy winter coat,Volcom,L,Red,Male,Poor
670,5,2,46,Shirt,classic vans,Vans,11,Red,Male,Good
671,4,3,58,Dress,classic vans,Vans,10,Black,Female,Fair
672,4,2,34,Pants,stomper boots,black,8,Black,Female,Good
673,5,2,41,Jacket,light twirly dress,Free People,4,Pink,Female,Good
674,4,1,67,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Good
675,1,3,41,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Great
676,4,3,21,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
677,4,2,68,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
678,4,2,37,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
679,2,1,27,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
680,5,2,53,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
681,2,3,54,Pants,Old cowboy boots,Tough,13,Brown,Male,Fair
